Device,Strategy,JammingType,TotalMessages,FailedMessages,SuccessMessages,SF09,SF10,SF11,SF12,FP,FN,TP,TN

Sodaq,Standard,NONE,50,0,50,50,0,0,0,0,0,50,0
Sodaq,Standard,STATIC_GATEWAY,50,23,27,50,0,0,0,23,0,27,0
Sodaq,Standard,STATIC_DEVICE,50,44,6,50,0,0,0,44,0,6,0
Sodaq,Standard,DYNAMIC_GATEWAY,50,12,38,50,0,0,0,12,0,38,0
Sodaq,Standard,DYNAMIC_DEVICE,50,12,38,50,0,0,0,12,0,38,0

Sodaq,Retry,NONE,50,0,50,50,0,0,0,0,0,50,0 
Sodaq,Retry,STATIC_GATEWAY,50,30,20,50,0,0,0,0,0,20,30
Sodaq,Retry,STATIC_DEVICE,50,36,14,50,0,0,0,0,1,13,37
Sodaq,Retry,DYNAMIC_GATEWAY,50,7,43,50,0,0,0,0,0,43,7
Sodaq,Retry,DYNAMIC_DEVICE,50,9,41,50,0,0,0,0,0,41,9

Sodaq,Dynamic,NONE,50,
Sodaq,Dynamic,STATIC_GATEWAY,50,
Sodaq,Dynamic,STATIC_DEVICE,50,
Sodaq,Dynamic,DYNAMIC_GATEWAY,50,
Sodaq,Dynamic,DYNAMIC_DEVICE,50,

Heltec,LBT,NONE,50,
Heltec,LBT,STATIC_GATEWAY,50,
Heltec,LBT,STATIC_DEVICE,50,
Heltec,LBT,DYNAMIC_GATEWAY,50,
Heltec,LBT,DYNAMIC_DEVICE,50,

Heltec,PALBT,NONE,50,
Heltec,PALBT,STATIC_GATEWAY,50,
Heltec,PALBT,STATIC_DEVICE,50,
Heltec,PALBT,DYNAMIC_GATEWAY,50,
Heltec,PALBT,DYNAMIC_DEVICE,50,
